Year,Month,Week,Long_Signals,Short_Signals,Long_Bonus,Short_Bonus,Step_Min,Step_Max
2020,11,45,1698,313,2260.0,344.5,124231,124902
2020,11,46,958,393,1311.0,547.0,124903,125574
2020,11,47,2104,200,2768.5,222.5,125575,126246
2020,11,48,888,659,1316.5,964.0,126247,126918
2020,11,49,216,8,288.0,4.0,126919,127014
2020,12,49,703,291,1112.5,380.0,127015,127590
2020,12,50,927,651,1173.0,921.5,127591,128262
2020,12,51,1869,405,2437.5,596.5,128263,128934
2020,12,52,1406,327,1857.5,451.5,128935,129606
2020,12,53,1001,158,1265.5,169.5,129607,129990
2021,1,1,1852,375,2519.0,551.5,130279,130950
2021,1,2,645,530,898.0,793.0,130951,131622
2021,1,3,808,815,872.5,1032.0,131623,132294
2021,1,4,1116,865,1579.0,1309.5,132295,132966
2021,1,53,679,74,819.5,110.5,129991,130278
2021,2,5,1700,420,2333.5,504.0,132967,133638
2021,2,6,1710,328,2232.5,431.5,133639,134310
2021,2,7,2256,321,3016.5,431.0,134311,134982
2021,2,8,718,889,972.5,1302.0,134983,135654
2021,3,9,1048,668,1498.5,929.0,135655,136326
2021,3,10,1685,357,2202.5,465.5,136327,136998
2021,3,11,923,879,1347.5,1134.0,136999,137670
2021,3,12,801,911,939.5,1257.5,137671,138247
2021,3,13,663,180,943.0,230.5,138248,138535
2021,4,13,638,393,758.5,518.5,138536,138919
2021,4,14,1335,862,1876.0,1008.5,138920,139591
2021,4,15,1294,503,1721.0,715.5,139592,140263
2021,4,16,548,955,855.5,1558.5,140264,140935
2021,4,17,628,440,953.0,668.0,140936,141415
2021,5,17,276,96,418.0,134.5,141416,141607
2021,5,18,1019,1149,1512.0,1417.5,141608,142279
2021,5,19,543,1251,814.5,1708.0,142280,142951
2021,5,20,472,873,719.0,1447.0,142952,143623
2021,5,21,633,914,1007.0,1585.0,143624,144295
2021,5,22,166,93,251.0,139.0,144296,144391
2021,6,22,556,697,955.0,1036.5,144392,144967
2021,6,23,704,865,1086.0,1376.0,144968,145639
2021,6,24,486,1092,706.5,1412.5,145640,146311
2021,6,25,632,811,1001.0,1258.0,146312,146983
2021,6,26,473,227,630.5,348.5,146984,147271
2021,7,26,348,846,555.0,1207.0,147272,147655
2021,7,27,542,1562,847.0,2099.5,147656,148327
2021,7,28,633,1340,966.5,1890.5,148328,148999
2021,7,29,1111,756,1599.5,1056.5,149000,149671
2021,7,30,1463,199,1929.0,244.0,149672,150247
2021,8,30,99,74,91.0,100.5,150248,150343
2021,8,31,1563,288,1973.5,333.5,150344,151015
2021,8,32,1255,396,1739.5,501.0,151016,151687
2021,8,33,1304,734,1833.5,925.0,151688,152359
2021,8,34,1288,572,1874.0,847.0,152360,153031
2021,8,35,281,415,296.5,542.0,153032,153223
2021,9,35,1008,439,1476.5,535.0,153224,153703
2021,9,36,799,796,1100.0,1353.0,153704,154375
2021,9,37,1161,503,1696.0,745.0,154376,155047
2021,9,38,452,765,726.0,1176.0,155048,155624
2021,9,39,383,443,563.0,772.5,155625,156008
2021,10,39,608,27,832.0,23.5,156009,156296
2021,10,40,1738,271,2273.5,356.5,156297,156968
2021,10,41,1389,384,1991.0,476.5,156969,157640
2021,10,42,1038,595,1370.5,875.0,157641,158312
2021,10,43,932,757,1289.5,1005.5,158313,158984
2021,11,44,1241,865,1548.5,1080.5,158985,159656
2021,11,45,1511,653,1913.0,905.5,159657,160328
2021,11,46,514,1091,695.5,1480.0,160329,161000
2021,11,47,553,1120,817.0,1651.5,161001,161672
2021,11,48,326,130,475.5,161.5,161673,161864
2021,12,48,262,1442,381.0,1972.5,161865,162344
2021,12,49,535,807,736.0,1255.5,162345,163016
2021,12,50,534,868,823.5,1468.0,163017,163688
2021,12,51,982,1125,1431.5,1473.5,163689,164360
2021,12,52,265,1052,415.5,1489.0,164361,164840
2022,1,1,277,1520,413.0,2106.5,165033,165704
2022,1,2,791,799,1150.5,1391.0,165705,166376
2022,1,3,430,974,677.0,1642.5,166377,167048
2022,1,4,712,514,1085.0,826.5,167049,167720
2022,1,5,62,302,95.0,406.0,167721,167816
2022,1,52,88,422,118.5,554.0,164841,165032
2022,2,5,1064,800,1594.0,1118.5,167817,168392
2022,2,6,1203,526,1513.0,612.0,168393,169064
2022,2,7,720,932,989.5,1307.0,169065,169736
